Frequency (Hz)	Level (dB)
19640.625000	-79.923660
19687.500000	-80.984787
19734.375000	-80.250389
19781.250000	-79.442924
19828.125000	-79.803101
19875.000000	-79.845322
19921.875000	-80.335480
19968.750000	-80.916161
20015.625000	-81.136276
20062.500000	-80.487724
20109.375000	-79.935127
20156.250000	-80.554558
20203.125000	-81.046806
20250.000000	-80.870987
20296.875000	-79.862885
20343.750000	-79.959877
20390.625000	-80.059326
20437.500000	-80.649643
20484.375000	-81.232819
20531.250000	-80.291855
20578.125000	-80.441772
20625.000000	-80.547974
20671.875000	-80.743759
20718.750000	-80.996101
20765.625000	-80.764778
20812.500000	-80.834427
20859.375000	-81.225830
20906.250000	-80.800255
20953.125000	-79.920242
21000.000000	-80.120468
21046.875000	-81.427429
21093.750000	-81.377151
21140.625000	-81.490227
21187.500000	-81.043335
21234.375000	-81.375328
21281.250000	-80.673897
21328.125000	-81.043732
21375.000000	-81.668884
21421.875000	-81.874512
21468.750000	-81.428055
21515.625000	-80.847702
21562.500000	-80.698677
21609.375000	-80.144806
21656.250000	-80.816429
21703.125000	-80.605392
21750.000000	-81.292206
21796.875000	-81.145531
21843.750000	-81.757370
21890.625000	-80.781975
21937.500000	-81.013206
21984.375000	-80.632607
22031.250000	-81.427101
22078.125000	-81.876595
22125.000000	-81.889519
22171.875000	-82.335251
22218.750000	-81.889229
22265.625000	-80.825539
22312.500000	-81.277420
22359.375000	-80.252716
22406.250000	-81.670067
22453.125000	-81.214638
22500.000000	-81.274315
22546.875000	-80.664230
22593.750000	-81.689468
22640.625000	-81.598106
22687.500000	-81.804207
22734.375000	-81.607780
22781.250000	-81.571693
22828.125000	-81.855232
22875.000000	-82.430374
22921.875000	-82.901390
22968.750000	-82.744827
23015.625000	-82.959824
23062.500000	-83.469154
23109.375000	-82.677010
23156.250000	-82.776321
23203.125000	-83.238663
23250.000000	-84.103340
23296.875000	-84.446175
23343.750000	-84.173698
23390.625000	-83.493858
23437.500000	-83.742828
23484.375000	-85.095520
23531.250000	-83.951790
23578.125000	-84.274429
23625.000000	-84.114128
23671.875000	-83.940407
23718.750000	-83.735741
23765.625000	-84.925491
23812.500000	-85.371162
23859.375000	-85.356102
23906.250000	-86.300179
23953.125000	-85.691605
